1,反復かつ連続,,8,0,1,0,1,15,家族の朝食風景をひとりずつかさねる一人芝居。,,,,,https://mamagoto.org/project/,,,,
2,ジャングルジャンクション,,6,-1,-1,-1,-1,-1,,,,,,,,,,
3,その赤い点は血だ,,2,7,-1,-1,7,-1,冬の厳しい寒さの監獄で囚人たちが見つけた床のシミ。別のところにもまたシミが現れて続いている。その続きを追おうとして囚人たちが見たものとは…。,,https://amzn.to/3R5NAIc,"<a href='https://www.amazon.co.jp/%E3%81%9D%E3%81%AE%E8%B5%A4%E3%81%84%E7%82%B9%E3%81%AF%E8%A1%80%E3%81%A0-%E7%94%B0%E8%BE%BA%E5%89%9B-ebook/dp/B00S3JKKPK?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=5IR8ZOBRO425&keywords=%E3%81%9D%E3%81%AE%E8%B5%A4%E3%81%84%E7%82%B9%E3%81%AF%E8%A1%80%E3%81%A0&qid=1693726361&s=books&sprefix=%E3%81%9D%E3%81%AE%E8%B5%A4%E3%81%84%E7%82%B9%E3%81%AF%E8%A1%80%E3%81%A0%2Cstripbooks%2C173&sr=1-1&linkCode=li2&tag=gekidankata00-22&linkId=2aadabccf3d415a07043672394ff9dbc&language=ja_JP&ref_=as_li_ss_il'"" target='""_blank'""><img border='""0'"" src='""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B00S3JKKPK&Format=_SL160_&ID=AsinImage&MarketPlace=JP&ServiceVersion=20070822&WS=1&tag=gekidankata00-22&language=ja_JP'"" ></a><img src='""https://ir-jp.amazon-adsystem.com/e/ir?t=gekidankata00-22&language=ja_JP&l=li2&o=9&a=B00S3JKKPK'"" width='""1'"" height='""1'"" border='""0'"" alt='""'"" style='""border:none !important; margin:0px !important;'"" />""","<iframe sandbox='allow-popups allow-scripts allow-modals allow-forms allow-same-origin'"" style='""width:120px;height:240px;'"" marginwidth='""0'"" marginheight='""0'"" scrolling='""no'"" frameborder='""0'"" src='""//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=B00S3JKKPK&linkId=fa207a100c556488faaf1d6db4324d29'""></iframe>""",,,,,
4,偏路,,11,2,4,-1,6,130,家族全員に猛反対されながらも、どうしても東京に行きたいと我が儘を貫き通して、X年目。挫折して妥協して麻痺して遠回りしたけど、夢だけじゃどうにもならないってこと、私、ようやく理解しました。でもこの歳で実家に戻るって、実は上京するよりもよっぽど大変だったりして……。,/bookimg/4.jpg,https://amzn.to/3EovUzL,"<a href='https://www.amazon.co.jp/%E5%81%8F%E8%B7%AF-%E6%9C%AC%E8%B0%B7-%E6%9C%89%E5%B8%8C%E5%AD%90/dp/4103017732?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=J9GIZCR89SNG&keywords=%E5%81%8F%E8%B7%AF+%E6%9C%AC%E8%B0%B7&qid=1693726408&s=books&sprefix=%E5%81%8F%E8%B7%AF+%E6%9C%AC%E8%B0%B7%2Cstripbooks%2C173&sr=1-1&linkCode=li2&tag=gekidankata00-22&linkId=234712fc738aeea6e7c13f42d4abd776&language=ja_JP&ref_=as_li_ss_il'"" target='""_blank'""><img border='""0'"" src='""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=4103017732&Format=_SL160_&ID=AsinImage&MarketPlace=JP&ServiceVersion=20070822&WS=1&tag=gekidankata00-22&language=ja_JP'"" ></a><img src='""https://ir-jp.amazon-adsystem.com/e/ir?t=gekidankata00-22&language=ja_JP&l=li2&o=9&a=4103017732'"" width='""1'"" height='""1'"" border='""0'"" alt='""'"" style='""border:none !important; margin:0px !important;'"" />""","<iframe sandbox='allow-popups allow-scripts allow-modals allow-forms allow-same-origin'"" style='""width:120px;height:240px;'"" marginwidth='""0'"" marginheight='""0'"" scrolling='""no'"" frameborder='""0'"" src='""//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=4103017732&linkId=a5f6064368a2b63176a94544087be52f'""></iframe>""",,,,,9784103017738
5,曲がれ！スプーン,,1,8,2,-1,10,110,エスパー（超能力者）に助けてもらったことのある早乙女は、いつかその人が来てくれることを願い、「カフェ・ド・念力」という名前のお店を開き、マスターになりました。すると、そこにはエスパーたちがひそかに通うようになっていったんですね。それぞれ別々に通っているので、エスパー同士はお互いのことを知りません。そこでクリスマスの日にみんなで一度集まろうということになりました。貸切の「カフェ・ド・念力」にこっそり集まったエスパーたち、そこへテレビ局のADで、桜井という女性がやって来ます。５人のエスパーたちは、自分たちがエスパーであるとバレない内に、桜井を追い返そうとしますが、次から次へとハプニングが起こってしまい・・・。,,https://amzn.to/3PqRqdC,"<a href='https://www.amazon.co.jp/%E6%9B%B2%E3%81%8C%E3%82%8C-%E3%82%B9%E3%83%97%E3%83%BC%E3%83%B3-%E3%83%8F%E3%83%A4%E3%82%AB%E3%83%AFSF%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA-J%E3%82%B3%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3-%E3%83%8F%E3%83%A4%E3%82%AB%E3%83%AFSF%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA%E3%83%BBJ%E3%82%B3%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3/dp/4152090774?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%9B%B2%E3%81%8C%E3%82%8C%EF%BC%81%E3%82%B9%E3%83%97%E3%83%BC%E3%83%B3&qid=1693726453&s=books&sr=1-1&linkCode=li2&tag=gekidankata00-22&linkId=d69ec8865d41e5e77879f04761cd76cb&language=ja_JP&ref_=as_li_ss_il'"" target='""_blank'""><img border='""0'"" src='""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=4152090774&Format=_SL160_&ID=AsinImage&MarketPlace=JP&ServiceVersion=20070822&WS=1&tag=gekidankata00-22&language=ja_JP'"" ></a><img src='""https://ir-jp.amazon-adsystem.com/e/ir?t=gekidankata00-22&language=ja_JP&l=li2&o=9&a=4152090774'"" width='""1'"" height='""1'"" border='""0'"" alt='""'"" style='""border:none !important; margin:0px !important;'"" />""","<iframe sandbox='allow-popups allow-scripts allow-modals allow-forms allow-same-origin'"" style='""width:120px;height:240px;'"" marginwidth='""0'"" marginheight='""0'"" scrolling='""no'"" frameborder='""0'"" src='""//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=4152090774&linkId=4e9f759dc01b8606dd2a5b1dbc56bb2c'""></iframe>""",,https://amzn.to/3Pmvwbi,<iframe sandbox=allow-popups allow-scripts allow-modals allow-forms allow-same-origin style=width:120px;height:240px; marginwidth=0 marginheight=0 scrolling=no frameborder=0 src=//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=4152090774&linkId=dacaad49adceba03d576ba9c407fd300></iframe>,,9784152090775
6,壊れた風景,,10,4,3,-1,7,90,,/bookimg/16.jpg,https://amzn.to/3PmNvhN,"<a href='https://www.amazon.co.jp/%E5%88%A5%E5%BD%B9%E5%AE%9F-%E5%A3%8A%E3%82%8C%E3%81%9F%E9%A2%A8%E6%99%AF-%E8%B1%A1-%E3%83%8F%E3%83%A4%E3%82%AB%E3%83%AF%E6%BC%94%E5%8A%87%E6%96%87%E5%BA%AB-10/dp/4151400109?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=2HJQRNGDGE161&keywords=%E5%A3%8A%E3%82%8C%E3%81%9F%E9%A2%A8%E6%99%AF&qid=1693726482&s=books&sprefix=%E3%81%93%E3%82%8F%E3%82%8C%E3%81%9F%E3%81%B5%E3%81%86%E3%81%91%E3%81%84%2Cstripbooks%2C180&sr=1-1&linkCode=li2&tag=gekidankata00-22&linkId=535720db100eb71fbffb9fd188212e08&language=ja_JP&ref_=as_li_ss_il'"" target='""_blank'""><img border='""0'"" src='""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=4151400109&Format=_SL160_&ID=AsinImage&MarketPlace=JP&ServiceVersion=20070822&WS=1&tag=gekidankata00-22&language=ja_JP'"" ></a><img src='""https://ir-jp.amazon-adsystem.com/e/ir?t=gekidankata00-22&language=ja_JP&l=li2&o=9&a=4151400109'"" width='""1'"" height='""1'"" border='""0'"" alt='""'"" style='""border:none !important; margin:0px !important;'"" />""","<iframe sandbox='allow-popups allow-scripts allow-modals allow-forms allow-same-origin'"" style='""width:120px;height:240px;'"" marginwidth='""0'"" marginheight='""0'"" scrolling='""no'"" frameborder='""0'"" src='""//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=4151400109&linkId=dc81fdf336806286a51fac235c7313e0'""></iframe>""",,https://amzn.to/3PkxeKs,,,9784151400100
7,ハックルベリーにさよならを,,6,5,3,-1,8,60,,,,,,,,,,
8,富豪タイフーン,,5,3,3,-1,6,100,,,https://amzn.to/4827t9c,"<a href='https://www.amazon.co.jp/%E3%83%8E%E3%83%BC%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89%E5%93%81-%E7%AA%81%E5%8A%87%E9%87%91%E9%AD%9A%E3%80%8E%E5%AF%8C%E8%B1%AA%E3%82%BF%E3%82%A4%E3%83%95%E3%83%BC%E3%83%B3%E3%80%8F%E5%8F%B0%E6%9C%AC/dp/B0BXCP4MGT?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=35J22VADEMIPE&keywords=%E5%AF%8C%E8%B1%AA%E3%82%BF%E3%82%A4%E3%83%95%E3%83%BC%E3%83%B3&qid=1693726514&s=books&sprefix=%E5%AF%8C%E8%B1%AA%E3%82%BF%E3%82%A4%E3%83%95%E3%83%BC%E3%83%B3%2Cstripbooks%2C169&sr=1-1-catcorr&linkCode=li2&tag=gekidankata00-22&linkId=7d6744cfeca8ea7c6aa93c6a3440bbea&language=ja_JP&ref_=as_li_ss_il'"" target='""_blank'""><img border='""0'"" src='""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B0BXCP4MGT&Format=_SL160_&ID=AsinImage&MarketPlace=JP&ServiceVersion=20070822&WS=1&tag=gekidankata00-22&language=ja_JP'"" ></a><img src='""https://ir-jp.amazon-adsystem.com/e/ir?t=gekidankata00-22&language=ja_JP&l=li2&o=9&a=B0BXCP4MGT'"" width='""1'"" height='""1'"" border='""0'"" alt='""'"" style='""border:none !important; margin:0px !important;'"" />""","<iframe sandbox='allow-popups allow-scripts allow-modals allow-forms allow-same-origin'"" style='""width:120px;height:240px;'"" marginwidth='""0'"" marginheight='""0'"" scrolling='""no'"" frameborder='""0'"" src='""//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=B0BXCP4MGT&linkId=2ef2eb95d358be99e793a245f19648d2'""></iframe>""",,,,,
9,消失,,3,4,2,-1,6,150,,,https://amzn.to/47W0Ox5,"<a href='https://www.amazon.co.jp/%E3%82%B1%E3%83%A9%E3%83%AA%E3%83%BC%E3%83%8E%E3%83%BB%E3%82%B5%E3%83%B3%E3%83%89%E3%83%AD%E3%83%B4%E3%82%A3%E3%83%83%E3%83%81-%E6%B6%88%E5%A4%B1-%E7%A5%9E%E6%A7%98%E3%81%A8%E3%81%9D%E3%81%AE%E4%BB%96%E3%81%AE%E5%A4%89%E7%A8%AE-%E3%83%8F%E3%83%A4%E3%82%AB%E3%83%AF%E6%BC%94%E5%8A%87%E6%96%87%E5%BA%AB/dp/415140032X?crid=LS9CSHMT11EC&keywords=%E6%B6%88%E5%A4%B1+%E3%82%B1%E3%83%A9%E3%83%AA%E3%83%BC%E3%83%8E&qid=1693726553&s=books&sprefix=%E6%B6%88%E5%A4%B1+%E3%81%91%E3%82%89%E3%82%8A%E3%83%BC%2Cstripbooks%2C168&sr=1-1&linkCode=li2&tag=gekidankata00-22&linkId=99f258099f468c24ee95b3c6da8860fe&language=ja_JP&ref_=as_li_ss_il'"" target='""_blank'""><img border='""0'"" src='""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=415140032X&Format=_SL160_&ID=AsinImage&MarketPlace=JP&ServiceVersion=20070822&WS=1&tag=gekidankata00-22&language=ja_JP'"" ></a><img src='""https://ir-jp.amazon-adsystem.com/e/ir?t=gekidankata00-22&language=ja_JP&l=li2&o=9&a=415140032X'"" width='""1'"" height='""1'"" border='""0'"" alt='""'"" style='""border:none !important; margin:0px !important;'"" />""","<iframe sandbox='allow-popups allow-scripts allow-modals allow-forms allow-same-origin'"" style='""width:120px;height:240px;'"" marginwidth='""0'"" marginheight='""0'"" scrolling='""no'"" frameborder='""0'"" src='""//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=415140032X&linkId=af1bffb09a81443ae77d68d3878acaff'""></iframe>""",,,,,9784151400100
10,パンドラの鐘,,9,-1,-1,-1,12,130,,,https://amzn.to/3ZhwHwl,"<a href='https://www.amazon.co.jp/20%E4%B8%96%E7%B4%80%E6%9C%80%E5%BE%8C%E3%81%AE%E6%88%AF%E6%9B%B2%E9%9B%86-%E9%87%8E%E7%94%B0-%E7%A7%80%E6%A8%B9/dp/4103405120?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=O5BFBUCSICFW&keywords=%E3%83%91%E3%83%B3%E3%83%89%E3%83%A9%E3%81%AE%E9%90%98&qid=1693726595&s=books&sprefix=%E3%83%91%E3%83%B3%E3%83%89%E3%83%A9%E3%81%AE%E9%90%98%2Cstripbooks%2C171&sr=1-1&linkCode=li2&tag=gekidankata00-22&linkId=58ba37ef65be76efaf9ae0c7c0d6f188&language=ja_JP&ref_=as_li_ss_il'"" target='""_blank'""><img border='""0'"" src='""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=4103405120&Format=_SL160_&ID=AsinImage&MarketPlace=JP&ServiceVersion=20070822&WS=1&tag=gekidankata00-22&language=ja_JP'"" ></a><img src='""https://ir-jp.amazon-adsystem.com/e/ir?t=gekidankata00-22&language=ja_JP&l=li2&o=9&a=4103405120'"" width='""1'"" height='""1'"" border='""0'"" alt='""'"" style='""border:none !important; margin:0px !important;'"" />""","<iframe sandbox='allow-popups allow-scripts allow-modals allow-forms allow-same-origin'"" style='""width:120px;height:240px;'"" marginwidth='""0'"" marginheight='""0'"" scrolling='""no'"" frameborder='""0'"" src='""//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=4103405120&linkId=4bfc68ebdb0f2e169ddb61122098ab91'""></iframe>""",,,,,9784103405122
11,神戸北ホテル,,16,-1,-1,-1,12,-1,,/bookimg/13.jpg,https://amzn.to/3sG8gwg,"<a href='https://www.amazon.co.jp/%E7%A5%9E%E6%88%B8%E5%8C%97%E3%83%9B%E3%83%86%E3%83%AB-%E5%B0%8F%E5%B9%A1%E6%AC%A3%E6%B2%BB%E6%88%AF%E6%9B%B2%E9%9B%86-%E5%B0%8F%E5%B9%A1-%E6%AC%A3%E6%B2%BB/dp/4152092203?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=6WZDC0TV0BPR&keywords=%E7%A5%9E%E6%88%B8%E5%8C%97%E3%83%9B%E3%83%86%E3%83%AB&qid=1693726622&s=books&sprefix=%E7%A5%9E%E6%88%B8%E5%8C%97%E3%83%9B%E3%83%86%E3%83%AB%2Cstripbooks%2C172&sr=1-1&linkCode=li2&tag=gekidankata00-22&linkId=3d7c16999f21c010886719b35a2bfe4c&language=ja_JP&ref_=as_li_ss_il'"" target='""_blank'""><img border='""0'"" src='""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=4152092203&Format=_SL160_&ID=AsinImage&MarketPlace=JP&ServiceVersion=20070822&WS=1&tag=gekidankata00-22&language=ja_JP'"" ></a><img src='""https://ir-jp.amazon-adsystem.com/e/ir?t=gekidankata00-22&language=ja_JP&l=li2&o=9&a=4152092203'"" width='""1'"" height='""1'"" border='""0'"" alt='""'"" style='""border:none !important; margin:0px !important;'"" />""","<iframe sandbox='allow-popups allow-scripts allow-modals allow-forms allow-same-origin'"" style='""width:120px;height:240px;'"" marginwidth='""0'"" marginheight='""0'"" scrolling='""no'"" frameborder='""0'"" src='""//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=4152092203&linkId=16f418bfc4dd6aa67d2161843eb1bd7a'""></iframe>""",,,,,9784152092205
12,笑顔の砦,,4,4,2,-1,6,120,,,,,,,,,,
13,マッチ売りの少女,,10,2,2,-1,4,90,,,https://amzn.to/3P5oWVu,"<a href='https://www.amazon.co.jp/%E3%83%9E%E3%83%83%E3%83%81%E5%A3%B2%E3%82%8A%E3%81%AE%E5%B0%91%E5%A5%B3-%E8%B1%A1%E2%80%95%E5%88%A5%E5%BD%B9%E5%AE%9F%E6%88%AF%E6%9B%B2%E9%9B%86-%E5%88%A5%E5%BD%B9-%E5%AE%9F/dp/4380692043?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=14IONT4CIJ8GN&keywords=%E3%83%9E%E3%83%83%E3%83%81%E5%A3%B2%E3%82%8A%E3%81%AE%E5%B0%91%E5%A5%B3+%E5%88%A5%E5%BD%B9&qid=1693726660&s=books&sprefix=%E3%83%9E%E3%83%83%E3%83%81%E5%A3%B2%E3%82%8A%E3%81%AE%E5%B0%91%E5%A5%B3+%E3%81%B9%E3%81%A4%E3%82%84%E3%81%8F%2Cstripbooks%2C178&sr=1-1&linkCode=li2&tag=gekidankata00-22&linkId=4e30eca52e1404d4e0c88844291ba6a6&language=ja_JP&ref_=as_li_ss_il'"" target='""_blank'""><img border='""0'"" src='""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=4380692043&Format=_SL160_&ID=AsinImage&MarketPlace=JP&ServiceVersion=20070822&WS=1&tag=gekidankata00-22&language=ja_JP'"" ></a><img src='""https://ir-jp.amazon-adsystem.com/e/ir?t=gekidankata00-22&language=ja_JP&l=li2&o=9&a=4380692043'"" width='""1'"" height='""1'"" border='""0'"" alt='""'"" style='""border:none !important; margin:0px !important;'"" />""","<iframe sandbox='allow-popups allow-scripts allow-modals allow-forms allow-same-origin'"" style='""width:120px;height:240px;'"" marginwidth='""0'"" marginheight='""0'"" scrolling='""no'"" frameborder='""0'"" src='""//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=4380692043&linkId=ef12e02c947311bb72541e24b72bba17'""></iframe>""",,https://amzn.to/44FQ17k,<iframe sandbox=allow-popups allow-scripts allow-modals allow-forms allow-same-origin style=width:120px;height:240px; marginwidth=0 marginheight=0 scrolling=no frameborder=0 src=//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=4380692043&linkId=c272746318e001149979a0b63bd81429></iframe>,,
14,たった一人の戦争,,14,9,13,-1,12,-1,,/bookimg/14.jpg,https://amzn.to/3P9WLou,"<a href='https://www.amazon.co.jp/%E3%83%90%E3%83%BC%E3%83%88%E3%83%AB%E3%83%93%E3%83%BC%E3%82%BA-%E3%81%9F%E3%81%A3%E3%81%9F%E4%B8%80%E4%BA%BA%E3%81%AE%E6%88%A6%E4%BA%89-%E5%9D%82%E6%89%8B%E6%B4%8B%E4%BA%8C%E6%88%AF%E6%9B%B2%E9%9B%86-%E5%9D%82%E6%89%8B-%E6%B4%8B%E4%BA%8C/dp/4779123429?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=JU8FSDZCF8P6&keywords=%E3%81%9F%E3%81%A3%E3%81%9F%E4%B8%80%E4%BA%BA%E3%81%AE%E6%88%A6%E4%BA%89&qid=1693726715&s=books&sprefix=%E3%81%9F%E3%81%A3%E3%81%9F%E4%B8%80%E4%BA%BA%E3%81%AE%E6%88%A6%E4%BA%89%2Cstripbooks%2C179&sr=1-3&linkCode=li2&tag=gekidankata00-22&linkId=7ba2c5c626dc4e55650c15947a2d5d42&language=ja_JP&ref_=as_li_ss_il'"" target='""_blank'""><img border='""0'"" src='""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=4779123429&Format=_SL160_&ID=AsinImage&MarketPlace=JP&ServiceVersion=20070822&WS=1&tag=gekidankata00-22&language=ja_JP'"" ></a><img src='""https://ir-jp.amazon-adsystem.com/e/ir?t=gekidankata00-22&language=ja_JP&l=li2&o=9&a=4779123429'"" width='""1'"" height='""1'"" border='""0'"" alt='""'"" style='""border:none !important; margin:0px !important;'"" />""","<iframe sandbox='allow-popups allow-scripts allow-modals allow-forms allow-same-origin'"" style='""width:120px;height:240px;'"" marginwidth='""0'"" marginheight='""0'"" scrolling='""no'"" frameborder='""0'"" src='""//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=4779123429&linkId=6106b5261c5f1744dead5ba883185eac'""></iframe>""",,,,,9784779123429
15,ある日、ぼくらは夢の中で出会う,,12,4,-1,-1,4,-1,,/bookimg/15.jpg,https://amzn.to/3Ep2DFg,"<a href='https://www.amazon.co.jp/%E3%81%82%E3%82%8B%E6%97%A5%E3%80%81%E3%81%BC%E3%81%8F%E3%82%89%E3%81%AF%E5%A4%A2%E3%81%AE%E4%B8%AD%E3%81%A7%E5%87%BA%E4%BC%9A%E3%81%86-theater-book-1-%E9%AB%98%E6%A9%8B%E3%81%84%E3%81%95%E3%82%92/dp/4846018741?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=3UYLF6BSPGO9Y&keywords=%E3%81%82%E3%82%8B%E6%97%A5%E3%80%81%E3%81%BC%E3%81%8F%E3%82%89%E3%81%AF%E5%A4%A2%E3%81%AE%E4%B8%AD%E3%81%A7%E5%87%BA%E4%BC%9A%E3%81%86&qid=1693726737&s=books&sprefix=%E3%81%82%E3%82%8B%E6%97%A5+%E3%81%BC%E3%81%8F%E3%82%89%E3%81%AF%E5%A4%A2%E3%81%AE%E4%B8%AD%E3%81%A7%E5%87%BA%E4%BC%9A%E3%81%86%2Cstripbooks%2C178&sr=1-1&linkCode=li2&tag=gekidankata00-22&linkId=628e24b2f963aea430edbe54e70208fb&language=ja_JP&ref_=as_li_ss_il'"" target='""_blank'""><img border='""0'"" src='""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=4846018741&Format=_SL160_&ID=AsinImage&MarketPlace=JP&ServiceVersion=20070822&WS=1&tag=gekidankata00-22&language=ja_JP'"" ></a><img src='""https://ir-jp.amazon-adsystem.com/e/ir?t=gekidankata00-22&language=ja_JP&l=li2&o=9&a=4846018741'"" width='""1'"" height='""1'"" border='""0'"" alt='""'"" style='""border:none !important; margin:0px !important;'"" />""","<iframe sandbox='allow-popups allow-scripts allow-modals allow-forms allow-same-origin'"" style='""width:120px;height:240px;'"" marginwidth='""0'"" marginheight='""0'"" scrolling='""no'"" frameborder='""0'"" src='""//rcm-fe.amazon-adsystem.com/e/cm?lt1=_blank&bc1=000000&IS2=1&bg1=FFFFFF&fc1=000000&lc1=0000FF&t=gekidankata00-22&language=ja_JP&o=9&p=8&l=as4&m=amazon&f=ifr&ref=as_ss_li_til&asins=4846018741&linkId=9b8736b853c2bb3257c3ea05ab4ac2f8'""></iframe>""",,https://amzn.to/45P2re2,,,9784846018740
