作者名,タイトル
矢代 静一,『壁画』
大橋 喜一,『楠三吉の青春』
小幡 欣治,『畸形児』
生活を記録する会・劇団三期会,『明日を紡ぐ娘たち』
堀田 清美,『島』
福田 善之,『長い墓標の列』
原 源一,『漁港』
広田 雅之,『友情舞踏会』
小林 勝,『檻』
早坂 久子,『相聞』
宮本 研,『日本人民共和国』
宮本 研,『メカニズム作戦』
八木 柊一郎,『波止場乞食と六人の息子たち』
八木 柊一郎,『コンベアーは止まらない』
山崎 正和,『世阿弥』
人見 嘉久彦,『友絵の鼓』
菅 竜一,『女の勤行』
福田 善之（辞退）,『袴垂れはどこだ』
川俣 晃自,『関東平野』
広田 雅之,『砂と城』
別役 実,『マッチ売りの少女』
別役 実,『赤い鳥の居る風景』
秋浜 悟史,『幼児たちの後の祭り』に至るまでの諸作品の成果
唐 十郎,『少女仮面』
佐藤 信,『鼠小僧次郎吉』
井上 ひさし,『道元の冒険』
清水 邦夫,『ぼくらが非情の大河をくだるとき』
つか こうへい,『熱海殺人事件』
石澤 富子,『木蓮沼』
石澤 富子,『琵琶伝』
太田 省吾,『小町風伝』
ちねん せいしん,『人類館』
岡部 耕大,『肥前松浦兄妹心中』
斉藤 憐,『上海バンスキング』
竹内 銃一郎,『あの大鴉、さえも』
山崎 哲,『漂流家族』
山崎 哲,『うお伝説』
野田 秀樹,『野獣降臨』
山元 清多,『比野置ジャンバラヤ』
渡辺 えり子,『ゲゲゲのげ』
北村 想,『十一人の少年』
岸田 理生,『糸地獄』
川村 毅,『新宿八犬伝――第一巻犬の誕生』
大橋 泰彦,『ゴジラ』
岩松 了,『蒲団と達磨』
坂手 洋二,『ブレスレス　ゴミ袋を呼吸する夜の物語』
横内 謙介,『愚者には見えないラ・マンチャの王様の裸』
宮沢 章夫,『ヒネミ』
柳 美里,『魚の祭』
鄭 義信,『ザ・寺山』
鴻上 尚史,『スナフキンの手紙』
平田 オリザ,『東京ノート』,完了済み
鈴江 俊郎,『髪をかきあげる』
松田 正隆,『海と日傘』
松尾 スズキ,『ファンキー！――宇宙は見える所までしかない』,完了済み
深津 篤史,『うちやまつり』
ケラリーノ・サンドロヴィッチ,『フローズン・ビーチ』
永井 愛,『兄帰る』
三谷 幸喜,『オケピ！』
中島 かずき,『アテルイ』
倉持 裕,『ワンマン・ショー』
岡田 利規,『三月の５日間』
宮藤 官九郎,『鈍獣』
佃 典彦,『ぬけがら』
三浦 大輔,『愛の渦』
松井 周,『自慢の息子』
ノゾエ征爾,『◯◯トアル風景』
藤田貴大,『かえりの合図、まってた食卓、そこ、きっと、しおふる世界。』
矢内原美邦,『前向き！タイモン』
赤堀雅秋,『一丁目ぞめき』
岩井秀人,『ある女』
飴屋法水,『ブルーシート』
山内ケンジ,『トロワグロ』,完了済み
タニノクロウ,『地獄谷温泉　無明ノ宿』
上田誠,『来てけつかるべき新世界』
神里雄大,『バルパライソの長い坂をくだる話』
福原充則,『あたらしいエクスプロージョン』
松原俊太郎,『山山』
市原佐都子,『バッコスの信女―ホルスタインの雌』

無料公開戯曲